艦船ID,艦船名,耐久初期,耐久最大,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期下限,対潜初期上限,対潜最大,回避初期下限,回避初期上限,回避最大,索敵初期下限,索敵初期上限,索敵最大,運初期,運最大,射程,装備1,装備2,装備3,装備4,装備5,機数1,機数2,機数3,機数4,機数5,ドロップ説明,図鑑説明
17,陽炎,16,34,10,29,24,79,12,39,6,19,24,24,49,44,44,79,6,6,19,12,49,1,2,14,-1,-1,-1,0,0,0,0,0,やっと会えた！　陽炎よ。<br>よろしくねっ！,第四次軍備充実計画で建造された陽炎型駆逐艦、ネームシップの陽炎よ。<br>新鋭の主力駆逐艦として、ハワイ攻撃機動部隊を始め、様々な作戦に参加したわ！<br>よろしくね！
18,不知火,16,34,10,29,24,69,9,39,6,19,24,24,49,44,44,79,6,6,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,不知火です。<br>ご指導ご鞭撻、よろしくです。,陽炎型駆逐艦２番艦、不知火です。<br>陽炎らと共にハワイ作戦部隊の護衛も務めました。<br>運命のレイテ沖海戦では志摩艦隊に所属、スリガオ海峡に突入しました。
19,黒潮,16,34,10,29,24,69,9,39,6,19,24,24,49,44,44,79,6,6,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,黒潮や、よろしゅうな。,大阪の民間造船所で建造された、陽炎型駆逐艦の３番艦、黒潮や。<br>こう見えても、スラバヤ沖海戦、南太平洋海戦、第三次ソロモン海戦などの激戦に参加したんやで。
20,雪風,16,39,10,29,24,79,12,49,7,29,24,24,49,50,50,89,6,6,19,50,99,1,2,14,-1,-1,-1,0,0,0,0,0,陽炎型駆逐艦８番艦、雪風です。<br>どうぞ、よろしくお願いしますっ！,陽炎型駆逐艦８番艦の雪風です。<br>私たち主力艦隊型駆逐艦の中で、十数回以上の主要海戦に参加しながらも、唯一ほとんど無傷で終戦まで生き残りました。<br>奇跡の駆逐艦って？ううん、奇跡じゃないですっ！
21,長良,26,39,14,49,24,89,13,59,10,29,20,20,59,37,37,79,8,8,39,12,49,2,4,14,-1,-1,-1,1,1,0,0,0,軽巡、長良です。<br>よろしくお願いします！,5500トン級軽巡洋艦、長良型の１番艦、長良よ。<br>ちょっとモデルは古いけど、高速・魚雷発射主兵装・水雷戦隊指揮能力と、駆逐艦仕切るにはバッチリでしょ？<br>ソロモン海での激闘でも奮戦したんだから！
22,五十鈴,26,39,14,39,24,79,13,49,10,29,40,40,79,37,37,69,8,8,39,10,49,2,4,-1,-1,-1,-1,1,1,0,0,0,五十鈴です。水雷戦隊の指揮ならお任せ。<br>全力で提督を勝利に導くわ。よろしくね。,五十鈴は、大正時代に建造された長良型軽巡の２番艦。<br>韋駄天さはもちろんだけど、私の歴代艦長の中からは、あの山本五十六提督、山口多聞提督など後の海軍を支える人物が多数輩出されたの。凄いでしょ？
23,由良,26,39,14,39,24,79,13,49,10,29,40,40,79,37,37,69,8,8,39,10,49,2,4,-1,-1,-1,-1,1,1,0,0,0,長良型軽巡四番艦の「由良」です。<br>どうぞ、よろしくお願いいたしますっ！,長良型軽巡４番艦の由良です。<br>私たちの中では、初めて水上偵察機を搭載したの。<br>水雷戦隊や潜水戦隊の旗艦として、活躍したのよ？<br>ドーントレスとかＢ17とかそういうのはちょっと苦手。
24,大井,25,39,14,49,24,89,13,59,11,29,19,19,59,37,37,77,8,8,39,17,49,2,4,14,-1,-1,-1,0,0,0,0,0,こんにちはー。軽巡洋艦、大井です。<br>どうぞ、よろしくお願い致しますね。,球磨型軽巡洋艦の４番艦、大井よ。<br>神戸生まれなの。<br>平時は海軍兵学校練習艦として活躍したのよ？<br>もちろん、真打ちは、重雷装艦へのモデルチェンジよね？頑張るわ！
25,北上,25,39,14,39,24,79,13,49,10,29,19,19,59,36,36,69,8,8,39,15,69,2,4,14,-1,-1,-1,0,0,0,0,0,アタシは軽巡、北上。<br>まーよろしく。,球磨型軽巡洋艦の３番艦、北上だよー。<br>んあ？そう、大井っちとは親友。<br>酸素魚雷を打ちまくる重雷装巡洋艦にステップアップできるってさ。<br>やってみる？
26,扶桑,67,89,74,94,0,0,23,79,59,79,0,0,0,19,19,39,9,9,33,5,39,3,7,11,25,-1,-1,3,3,3,3,0,扶桑型超弩級戦艦、姉の扶桑です。<br>妹の山城ともども、よろしくお願い致します。,初の日本独自設計による超弩級戦艦、扶桑です。<br>妹の山城ともどもよろしくお願いしますね。<br>レイテ沖？　そうね、いつか突入してみたいわ。ホントよ？
27,山城,67,89,74,94,0,0,23,79,59,79,0,0,0,19,19,39,9,9,33,5,39,3,7,11,25,-1,-1,3,3,3,3,0,扶桑型戦艦姉妹、妹のほう、山城です。<br>あの、扶桑姉さま、見ませんでした？,扶桑型戦艦２番艦、山城です。<br>「欠陥戦艦」とか「艦隊にいる方が珍しい」とか、いいたい放題ね…。<br>でも、いいの。最後の時も、扶桑姉さまと一緒に戦えれば……
28,皐月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,皐月だよっ。<br>よろしくな！,ボクは任務途中に何度も何度も怪我をしたけど、最後まで奮戦した睦月型駆逐艦５番艦さ。<br>緒戦の後も、船団護衛などで各海域で頑張ったんだ。ホントだよ。
29,文月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,あたし、文月っていうの。<br>よろしくぅ～。,睦月型駆逐艦７番艦の文月だよ。<br>数々の海戦に参加したんだ。<br>船団護衛中に大型船と衝突して大破…したこともあったっけ。<br>あれはやばかったなー。
30,菊月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,私が菊月だ、共にゆこう。,睦月型駆逐艦の９番艦、菊月だ。<br>緒戦は数々の攻略作戦に参加。<br>そして、船団護衛に従事したんだ。<br>いや、護衛任務も大切なミッションだ……。
31,望月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,ん？あぁ、望月でーす。,睦月型駆逐艦望月でーす。<br>第30駆逐隊に所属して各攻略作戦に参加したよ。<br>何度も修理を繰り返しながら輸送任務に従事したぞ。<br>結構頑張ったっしょ？
32,初雪,15,29,10,29,27,69,10,39,5,19,20,20,49,40,40,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,初雪……です……よろしく。,特型駆逐艦…３番艦…初雪…です。<br>緒戦の作戦に…いっぱい参加しました…。<br>輸送任務とかも…ん…がんばる……。
33,叢雲,15,29,10,29,27,69,10,39,5,19,20,20,49,40,40,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,あんたが司令官ね。<br>ま、せいぜい頑張りなさい！,特型駆逐艦、５番艦の叢雲よ。<br>え、知らないって？　全く、ありえないわね。<br>南方作戦や、古鷹の救援、数々の作戦に参加した名艦の私を知らないって、あんた、もぐりでしょ！
34,暁,15,30,10,29,27,79,12,39,6,19,20,20,49,42,42,89,5,5,19,12,49,1,2,13,-1,-1,-1,0,0,0,0,0,暁よ。<br>一人前のレディーとして扱ってよね！,特Ⅲ型駆逐艦１番艦の暁よ。<br>吹雪型をベースに航行性能や航続距離を向上させたの。特型駆逐艦の最終完成形なんだから！<br>ちゃんとレディーとして活躍したのよ！<br>ほ、ほんとなんだからっ。
35,響,15,30,10,29,27,69,12,39,6,19,20,20,49,42,42,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,響だよ。<br>その活躍ぶりから不死鳥の通り名もあるよ。,数ある特型駆逐艦の中で、最後まで生き残ったのが、響。転戦の後、あの大和水上特攻時には修理で同行できなかったんだ。<br>賠償艦としてソ連に引き渡され「信頼できる」という意味の艦名になったんだ。
36,雷,15,30,10,29,27,69,12,39,6,19,20,20,49,42,42,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,雷よ！　かみなりじゃないわ！<br>そこのとこもよろしく頼むわねっ！,スラバヤ沖海戦では駆逐艦電と一緒に協力して、沈没した敵艦隊の生存者の救助に当たったのよ。<br>ただ強いだけじゃ、だめだと思うの。<br>ね、司令官！
37,電,15,30,10,29,27,69,12,39,6,19,20,20,49,42,42,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,電です。<br>どうか、よろしくお願いいたします。,スラバヤ沖海戦で撃沈した敵艦の乗員の救助に努めた後、キスカ、ソロモン、ニューギニア、アッツ島など、各戦域を転戦しました…<br>頑張ったの…です…。
38,初春,16,31,10,29,27,79,12,39,6,19,21,21,49,43,43,89,5,5,19,12,49,1,2,13,-1,-1,-1,0,0,0,0,0,わらわが初春じゃ。<br>よろしく頼みますぞ。,初春型駆逐艦、１番艦の初春じゃ。<br>わらわは、北方部隊に所属。戦雲渦巻くアッツやキスカなどの北方海域で活躍したぞ。<br>北海道周辺も好きな海域じゃな。マニラ湾やオルモック…？ああ、熱いところは苦手じゃ。
39,子日,16,31,10,29,27,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,初めまして、ねのひ、だよぉ！<br>艦名、読みづらくなんか、ないよね？ね？,丸一計画で建造された、初春型駆逐艦２番艦の子日だよ。<br>初春などの姉妹艦で第２１駆逐隊を編成して色々と頑張ったんだよ。<br>なに？潜水艦…？嫌いキライ！
40,若葉,16,31,10,29,27,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,駆逐艦、若葉だ。,初春型駆逐艦３番艦、若葉だ。<br>アッツ島沖海戦やキスカ島撤退作戦などに参加した。<br>そうだ、北方海域だ。<br>ああ、濃霧には注意が必要だ。ぶつかりやすい。<br>特に「初霜」、お前は要注意だ。
41,初霜,16,31,10,29,27,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,初春型四番艦、初霜です。<br>皆さん、よろしくお願いします！,初春型駆逐艦の４番艦、初霜です。<br>アリューシャン作戦、アッツ島沖海戦、キスカ島撤退作戦、マリアナ沖海戦、北号作戦、坊ノ岬沖海戦など、様々な激戦に参加しました！<br>ほんと、頑張ったんです！
42,白露,16,32,10,29,24,79,12,39,6,19,21,21,49,43,43,79,5,5,19,12,49,1,2,14,-1,-1,-1,0,0,0,0,0,白露型駆逐艦一番艦、「白露」です！<br>はい、一番艦ですっ！,初春型駆逐艦の次に開発された白露型の１番艦、白露だよ！　そう、１番艦だよ、１番艦。<br>色々と改良された艦隊型駆逐艦なんだから！<br>え？慌ててタンカーと衝突しないようにって？大丈夫！
43,時雨,16,32,10,29,24,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,僕は白露型駆逐艦、「時雨」。<br>これからよろしくね。,僕は白露型駆逐艦２番艦の時雨だよ。<br>あのレイテ沖海戦では、西村艦隊に所属して、運命のスリガオ海峡に突入したんだ。<br>扶桑も山城も凄かったよ……。<br>皆が忘れても、僕だけはずっと覚えているから……。
44,村雨,16,32,10,29,24,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,はいはーい！白露型駆逐艦「村雨」だよ。<br>みんな、よろしくね！,白露型駆逐艦３番艦、村雨よ。<br>雨の名前の駆逐艦群なんてお洒落よね？<br>姉妹艦の夕立たちと一緒に第２駆逐隊を編成したの。鼠輸送ですって？　失礼しちゃう、ガダルカナル島輸送作戦でも活躍したわ！
45,夕立,16,32,10,29,24,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,こんにちは、白露型駆逐艦「夕立」よ。<br>よろしくね！,白露型駆逐艦の４番艦、夕立です。<br>第三次ソロモン海戦では、けっこう頑張ったっぽい？<br>でも、何気に「アイアンボトム・サウンド」って、ホントに怖い言葉よね？
46,五月雨,16,32,10,29,24,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,五月雨っていいます！よろしくお願いします。<br>護衛任務はお任せください！,五月雨です。<br>村雨・夕立・春雨とは第２駆逐隊でお友達でした。<br>そうそう、輸送任務中に白露と衝突してしまったことも…ホント、私ってば、ドジでごめんなさい。<br>でも、頑張ります！
47,涼風,16,32,10,29,24,79,9,39,6,19,21,21,49,43,43,79,5,5,19,12,49,1,2,14,-1,-1,-1,0,0,0,0,0,ちわ！涼風だよ。<br>私が艦隊に加われば百人力さ！,涼風だよ。<br>特型駆逐艦として数々の攻略作戦の支援に参加したんだ。<br>その後は戦艦や空母の護衛にも従事したよ。<br>頼りにしてね！最後まで戦うから！
48,霰,16,33,10,29,24,69,9,39,6,19,21,21,49,43,43,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,霰です…<br>んちゃ…とかはいいません…よろしく…,霰は、マル２計画で建造された最後の駆逐艦…。<br>朝潮型シリーズの…最終艦でも…あるの…。<br>この後は…陽炎型だから…
49,霞,16,33,10,29,24,69,9,39,6,19,21,21,49,43,43,79,5,5,19,15,59,1,2,-1,-1,-1,-1,0,0,0,0,0,霞よ。<br>ガンガンいくわよ。ついてらっしゃい。,歴戦の主力駆逐艦として奮戦したわ。<br>最後は戦艦大和と共に坊ノ岬沖海戦で米艦載機の猛攻と戦ったの。<br>負けないわ！
50,島風,19,39,12,29,45,89,14,49,8,29,24,24,49,50,50,99,7,7,19,10,49,1,2,14,-1,-1,-1,0,0,0,0,0,駆逐艦島風です。スピードなら誰にも負けません。<br>速きこと、島風の如し、です！,艦隊型駆逐艦の最高峰を目指して開発された、高速で重雷装の駆逐艦、島風型よ。<br>40ノット以上の快速なんだから。<br>でも、量産には向かなくって、私一隻しか建造されなかったの。
51,天龍,23,35,11,39,18,59,8,39,7,29,18,18,59,35,35,69,7,7,19,17,49,2,4,37,-1,-1,-1,0,0,0,0,0,オレの名は天龍。<br>フフフ、怖いか？,天龍型１番艦、天龍だ。<br>駆逐艦を束ねて、殴り込みの水雷戦隊を率いるぜ。<br>相棒は、同型艦の龍田だ。<br>あいつ、ちゃんとやってるかな？ま、いいけどな。
52,龍田,23,35,11,39,18,59,8,39,7,29,18,18,59,35,35,69,7,7,19,17,49,2,4,37,-1,-1,-1,0,0,0,0,0,初めまして、龍田だよ。<br>天龍ちゃんがご迷惑かけてないかなあ～。,軽巡洋艦、天龍型２番艦の龍田よ。<br>生まれは佐世保なの。<br>天龍ちゃんがみんなに迷惑かけてない？心配よね～。<br>え？私？私は潜水艦が、ちょっと鬼門だわ～。
53,名取,26,39,14,39,24,79,13,49,10,29,20,20,59,37,37,69,8,8,39,10,49,2,4,-1,-1,-1,-1,1,1,0,0,0,名取といいます。<br>ご迷惑をおかけしないように、が、頑張ります。,長良型３番艦の名取です。<br>ちょっと古いモデルっていわれるけれど、高速軽巡洋艦として使い方はあるはず…<br>そ、そう、水雷戦隊には、ぜひ配属してくださいね。<br>が、頑張りますから！
54,川内,26,39,14,49,24,89,13,59,11,29,20,20,69,38,38,79,8,8,39,12,49,2,4,25,-1,-1,-1,1,1,0,0,0,川内、参上。<br>夜戦なら任せておいて！,5500トン級の軽巡洋艦の最終タイプ、それが私、川内型よ。<br>熟成された軽巡の魅力、たっぷり教えてあげるから。<br>もちろん、夜戦でね！
55,神通,26,39,14,39,24,79,13,49,11,29,20,20,69,38,38,69,8,8,39,10,49,2,4,-1,-1,-1,-1,1,1,0,0,0,あの……軽巡洋艦、神通です。<br>どうか、よろしくお願い致します……,神通です。近代化改装を受け、<br>第２水雷戦隊の旗艦を務めました。<br>コロンバンガラ島沖海戦では先頭に立って奮戦します。<br>でも、みんな私の事狙うんですもの…ひどいわ……。
56,那珂,26,39,14,39,24,79,13,49,11,29,24,24,69,38,38,69,8,8,39,10,49,2,4,-1,-1,-1,-1,1,1,0,0,0,艦隊のアイドル、那珂（なか）ちゃんだよー！<br>よっろしくぅ！,第４水雷戦隊のセンターも務めた那珂だよ！<br>お仕事沢山入ってて、輸送船の護衛任務や、トラック島から南方への輸送任務とか…<br>…え、地方巡業じゃんって？ そんなことないしっ！
57,大井改,32,49,8,39,80,99,13,39,12,39,25,25,59,37,37,77,8,8,39,10,49,2,15,15,-1,-1,-1,0,0,0,0,0,重雷装艦として、生まれ変わった大井です。<br>お久しぶりです！,重雷装艦バージョンの大井です。<br>圧倒的な水雷戦力を期待されたけど、<br>出番がなかなかなかったの。<br>今度は活躍してみせるわ。見ていてね！
58,北上改,32,49,8,39,80,99,13,39,12,39,25,25,59,37,37,77,8,8,39,15,69,2,15,15,-1,-1,-1,0,0,0,0,0,新しい北上、それがアタシ。<br>酸素魚雷を満載して、ちょっと大人になったでしょ。,九三式酸素魚雷を満載、片舷20門、全40門の魚雷発射管を誇る、重雷装艦へと改装されたスーパー北上さまだよ。<br>その威力は圧倒的と言われていたけれど、活躍する機会が微妙になかったんだよね。ちぇっ。
59,古鷹,36,49,30,54,12,59,16,59,25,34,0,0,0,33,33,69,10,10,39,10,49,2,6,37,-1,-1,-1,2,2,2,0,0,古鷹と言います。<br>重巡洋艦のいいところ、たくさん知ってもらえると嬉しいです。,重巡洋艦、古鷹です。<br>三川提督率いる第８艦隊の一員として、第一次ソロモン海戦では敵艦多数を撃破したんですよ！<br>これが、重巡なんです！
60,加古,36,49,30,49,12,49,16,49,25,34,0,0,0,33,33,59,10,10,39,10,49,2,6,-1,-1,-1,-1,2,2,2,0,0,古鷹型重巡の2番艦、加古ってんだ、よっろしくぅー！,古鷹型重巡洋艦の２番艦、加古だよぉ。<br>第一次ソロモン海戦で大活躍したんだからね！<br>あ、帰り道？ホント、行きはよいよい、帰りは怖い～ってね！
61,青葉,37,49,30,54,12,59,16,59,26,37,0,0,0,33,33,69,11,11,39,20,69,2,6,37,-1,-1,-1,2,2,2,0,0,ども、恐縮です、青葉ですぅ！<br>一言お願いします！,青葉です。トラック諸島方面へ進出して、<br>中部太平洋作戦を支えました。<br>従軍作家さんも乗り込んで青葉のスタッフの仕事振りを取材したことも。最期の時は、呉の港で。<br>動かす油もなかったけど、青葉、頑張りました！
62,妙高,44,60,40,59,24,59,16,64,32,49,0,0,0,34,34,69,12,12,39,10,49,2,6,25,-1,-1,-1,2,2,2,0,0,私、妙高型重巡洋艦、妙高と申します。<br>共に頑張りましょう。,ワシントン海軍軍縮条約下で建造された重巡洋艦です。<br>平賀譲氏設計による日本海軍の第一級の戦闘艦です。<br>現代の海上自衛隊のイージス艦にも、その名は受け継がれています。
63,那智,44,56,40,54,24,49,16,54,32,49,0,0,0,34,34,59,12,12,39,10,49,2,6,-1,-1,-1,-1,2,2,2,0,0,貴様が司令官か。<br>私は那智。よろしくお願いする。,生れは呉海軍工廠。妙高型重巡２番艦の私は、上海事変にも警備出動したぞ。<br>太平洋戦線では第五艦隊の旗艦として、暴れまわったさ。<br>敵艦載機？　ああ、あれは少し苦手だな。
64,足柄,44,56,40,54,24,49,16,54,32,49,0,0,0,34,34,59,12,12,39,10,49,2,6,-1,-1,-1,-1,2,2,2,0,0,足柄よ。砲雷撃戦が得意なの。<br>ふふ、よろしくね。,私、足柄が英国の観艦式に参加した時のことよ。<br>まるで「飢えた狼のよう」と評価されたの。<br>当然よね！この精悍なボディ！<br>え？それは色気がないって嫌味じゃないかって？<br>そんなことあるわけ…ナイじゃない！
65,羽黒,44,56,40,54,24,49,16,54,32,49,0,0,0,34,34,59,12,12,39,10,49,2,6,-1,-1,-1,-1,2,2,2,0,0,羽黒です。妙高型重巡洋艦姉妹の末っ娘です。<br>あ、あの…ごめんなさいっ！,長崎で生まれたの。<br>スラバヤ沖海戦、珊瑚海海戦、ミッドウェー海戦、第二次ソロモン海戦、マリアナ海戦など数々の海戦に参加しました。<br>あの…頑張ります！
66,高雄,45,60,40,59,24,59,18,66,35,49,0,0,0,35,35,69,13,13,39,10,49,2,6,25,-1,-1,-1,2,2,2,0,0,こんにちは。高雄です。<br>貴方のような素敵な提督で良かったわ。,巡洋艦といえば、なんといっても、私、高雄型よね。<br>近藤中将麾下の第４戦隊に所属して、数々の海戦に参加しました。<br>激戦を戦い抜いて、最期はシンガポール防衛に努めたの。
67,愛宕,45,60,40,54,24,59,18,56,35,49,0,0,0,35,35,59,13,13,39,10,49,2,6,25,-1,-1,-1,2,2,2,0,0,私は愛宕、提督、覚えてくださいね。,高雄型の２番艦、愛宕よ、うふふ。<br>呉海軍工廠で生まれたの。<br>バランスがとれた重武装ボディでしょ？<br>レイテ沖の決戦では、第一遊撃部隊の旗艦として出撃したんだけど……ま、そんなこともあるわよね。
68,摩耶,45,57,40,54,24,49,18,56,35,49,0,0,0,35,35,59,13,13,39,10,49,2,6,-1,-1,-1,-1,2,2,2,0,0,よ！アタシ、摩耶ってんだ、よろしくな。,高雄型重巡洋艦３番艦の摩耶さまだ。<br>生まれは神戸。南方作戦や激戦のソロモン海で暴れまくってやったぜ！<br>ああん？　レイテ？　んだよ、潜水艦って奴は苦手だよ。
69,鳥海,45,57,40,54,24,49,18,56,35,49,0,0,0,35,35,59,13,13,39,10,49,2,6,-1,-1,-1,-1,2,2,2,0,0,私が鳥海です。よろしくです。,高雄型の４番艦、鳥海です。<br>マレー、ソロモン、マリアナ、レイテと数々の作戦に参加しました。<br>鳥海の名は、現在、海自のイージス護衛艦、その４番艦に受け継がれています。
70,最上,41,59,40,59,18,69,20,59,31,59,0,0,0,35,35,69,14,14,39,10,49,2,5,25,-1,-1,-1,2,2,2,0,0,ボクが最上さ。<br>大丈夫、今度は衝突しないって。ホントだよ。,重巡洋艦、最上型のネームシップ、最上だよ。<br>三連主砲がいい感じでしょ？<br>そうそう、ボク、ちょっと他の艦とよくブツかっちゃう癖があるんだけど、なんでだろ？
71,利根,44,62,32,59,24,59,20,67,36,59,0,0,0,36,36,69,20,20,59,10,49,2,6,25,-1,-1,-1,3,3,3,0,0,吾輩が利根である！<br>吾輩が艦隊に加わる以上、もう、索敵の心配はないぞ！,日本海軍が完成させた最後の重巡、<br>利根型の長女、利根だ。<br>真珠湾、そして痛恨のミッドウェーでも、艦隊の眼として縦横無尽の活躍なのじゃ。最期は呉鎮守府を守る浮き砲台として刀折れ矢尽きるまで戦ったぞ。
72,筑摩,44,62,32,59,24,59,20,67,36,59,0,0,0,36,36,69,20,20,59,10,49,2,6,25,-1,-1,-1,3,3,3,0,0,はじめまして、利根型２番艦、筑摩と申します。,筑摩です。<br>連装主砲４基を前甲板に集中させ、充実した索敵水偵を搭載した利根型重巡洋艦２番艦です。<br>生まれは長崎よ。利根姉さんと一緒に、あの南雲機動部隊の、大切な眼の役目を務めたの。
